TitleWin,"Победа"
TitleDefeat,"Поражение"
DefeatMainPhrase,"Сэр! В этой битве нам не обойтись без помощи!"
WinMainPhrase,"Сэр, поздравляю с победой! Посмотрите, здесь трофеи, что нам удалось собрать!"
SmallBombLabel,"Малая бомба"
SmallBombDescription,"Уничтожает врагов в небольшом радиусе"
BigBombLabel,"Большая бомба"
BigBombDescription,"Уничтожает врагов в большом радиусе."
RepairKitLabel,"Набор для ремонта"
RepairKitDescription,"Восстанавливает разрушенный форпост до исходного состояния."
FreezeLabel,"Заморозка"
FreezeDescription,"Ненадолго уменьшает скорость движения монстров."
Teach_1,"Добро пожаловать в игру <i><color=#FF7900>'В осаде'</color></i>! <br>Толпы зомби жаждут разрушить ваш форпост до основания и обглодать всех его обитателей до белых косточек. Ваша задача остановить их наступление всеми возможными способами!"
Teach_2,"В центре игрового поля находятся <color=#FF0000>блоки амуниции</color>, имеющие разные направления. Кликните на один из <color=#FF0000>блоков</color>. Если на его пути не будет преград, то, обогнув поле по периметру, он достигнет первой свободной <color=#FF0000>пушки</color> и зарядит её. Рядом сней Вы увидите цифру, означающую число зарядов."
Teach_3,"Обратите внимание, что <color=#FF0000>блоки амуниции</color> имеют разные цвета. Достигнув <color=#FF0000>пушки</color>, <color=#FF0000>блок</color> окрашивает её в тот же цвет. И она будет уничтожать только тех зомби, вышедших на поле, которые схожи с ней по цвету. Число зомби в текущей волне отображается на <color=#00FFF8>табло</color> в центре поля. Израсходовав все заряды, <color=#FF0000>пушка</color> приобретает свой изначальный цвет и ожидает поступления зарядов."
Teach_4,"Часто возникают моменты, когда все <color=#FF0000>блоки</color> заблокированы соседними и больше хода нет. В таком случае необходимо использовать <u>бустер</u> <color=#00FFF8>Смена направления</color>, расположенный в нижнем левом углу. Использовать его можно неограниченное число раз, но каждое использование расходует <color=#FFF400>3 монеты</color>."
Teach_5,"Число <color=#FFF400>монет</color> отображается в левом верхнем углу экрана. Получить их можно двумя способами: собирая на игровом поле - иногда <color=#FFF400>монеты</color> выпадают из убитых зомби; и открыв <color=#FFF400>сундук трофеев</color> на <color=#B879FF>экране победы</color>, после успешного завершения уровня."
Teach_6,"Также в верхнем левом углу экрана в виде <color=#FF00CD>сердечек</color> отображается <color=#FF00CD>прочность крепости</color>. <color=#FF00CD>Сердце</color> расходуется каждый раз, когда зомби достигает стены. Восполнить их во время игры можно <u>специальным бустером</u>."
Teach_7,"Имеющиеся в вашем распоряжении бустеры расположены на панели в нижнем левом углу экрана. Всего в данной версии игры <u>4 бустера</u>: <br><color=#00FFF8>Малая бомба</color> и <color=#00FFF8>большая бомба</color> - щелкните на <u>бустер</u>, а затем щелкните по игровому полю рядом с зомби, чтобы уничтожить их; <br><color=#00FFF8>Набор для ремонта</color> - щелкните на бустер, чтобы мгновенно восстановить крепость до начального состояния, <br><color=#00FFF8>Заморозка</color> - щелкните на бустер, чтобы на короткое время заморозить всех зомби в данный момент находящихся на поле."
Teach_8,"<u>Бустеры</u> можно получить купив в <color=#B879FF>магазине</color> за <color=#FFF400>монеты</color> на <color=#B879FF>экране победы</color>, или выбрать один из предложенных на <color=#B879FF>экране поражения</color>, просмотрев <color=#B879FF>рекламу</color>."
Teach_9,"На этом короткое обучение закончено. Желаем удачи! Не дайте зомби добраться до вас!"
